mean_wave,datasets,snrs,n_recovered
4863.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result']","[3.055674340257119, 3.020312771671793]",2
9395.5,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[3.0635519458211533, 2.7537204646934166]",2
9377.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-3.883730303676084, -3.770375097032589]",2
6600.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-3.140727249689131, -3.1637808088190864]",2
1800.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[3.10931963305625, 2.8373467041404288]",2
1853.5,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-3.841084146558759, -3.6962640083286953]",2
9421.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-3.622894365556652, -2.8383175770205433]",2
1656.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-3.12007884504756, -3.2811122224496585]",2
8870.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-2.7965240797816695, -2.89673056713119]",2
9443.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-3.4968476440712988, -2.7970650067471388]",2
4103.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-2.5316201034348, -2.535017562970705]",2
2326.5,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[4.241985498905908, 4.189602184109447]",2
8809.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-2.7474397706439886, -2.8715424444994793]",2
4120.5,"['BGS_loa_skyfiber_result', 'LRG_loa_skyfiber_result']","[2.667809899693762, 2.8143027447428675]",2
