mean_wave,datasets,snrs,n_recovered
5173.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-4.065896108883113, -4.057108968102457]",2
1800.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[3.10931963305625, 2.8373467041404288]",2
9421.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-3.622894365556652, -2.8383175770205433]",2
1656.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-3.12007884504756, -3.2811122224496585]",2
8870.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-2.7965240797816695, -2.89673056713119]",2
9025.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-2.9150019177414634, -3.0288417957521654]",2
9827.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[2.8566307305609815, 6.236249192128911]",2
1908.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[7.82887171204661, 7.818939877078063]",2
9443.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-3.4968476440712988, -2.7970650067471388]",2
2799.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-2.8326039158750524, -2.8382314835967377]",2
4103.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-2.5316201034348, -2.535017562970705]",2
5895.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-7.990833090592938, -8.001414524447995]",2
7667.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-4.2103294331188215, -4.105202704521877]",2
1550.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[6.3276640330511995, 5.1963745873285925]",2
8809.0,"['LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-2.7474397706439886, -2.8715424444994793]",2
